"","거래내역"
"","","","","","","","","","","","","","","","2026-02-24 오전 6:43:34"
"","계좌번호 :","270-24-***411","U.S ETF","상품 :","01","거래구분 :","전체","정렬 :","일자순","20250101","~","20260224"
"","일자","구분","종목번호","수량","","거래대금","미수발생/변제","","세전이자","수수료","","연체료","상대처","변동금액","대출일","처리자"
"","2025/02/13","해외증권_해외주식매수","US9119221029","1","104.947",".",".",".08",".","","105.","","","","",""
"","01","해외주식매수","유나이티드 스테이츠","104.947",".",".",".",".","신한 SOL증권(Android)","USD","121.","","","","",""
"","SHINHAN SECURITIES.","","","","","","","","","","","","","","",""
"","일자","구분","종목번호","수량","거래대금","미수발생/변제","세전이자","수수료","연체료","상대처","변동금액","대출일","처리자","","",""
"","상품","적요","종목명","가격","신용/대출금","신용/대출이자","예탁금이용료","제세금","대체계좌/채널","의뢰자명","최종금액","만기일","","","",""
"","2025/02/13","해외증권_해외주식매수","US46266A1097","2","121.6",".",".",".1",".","","121.","","","","",""
"","01","해외주식매수","아이라디메드","60.8",".",".",".",".","신한 SOL증권(Android)","USD",".","","","","",""
"","2025/02/14","외화RP매도입금","USD","0","907.45",".",".","0",".","","907.","","","","",""
"","01","","","1450.5",".",".",".",".","","","907.","","","","",""
"","2025/02/14","환전출금","USD","0",".02",".",".","0",".","",".","","","","",""
"","01","","","1450.5",".",".",".",".","","","907.","","","","",""
"","2025/02/14","환전입금","KRW","0","30",".",".","0",".","","30.","","","","",""
"","01","","","0",".",".",".",".","","","2141984.","","","","",""
"","2025/02/14","외화RP원천징수","2610","0","30",".",".","0",".","","30.","","","","",""
"","01","","외화RP수시_온라인","0",".",".",".","30.","","","2141954.","","","","",""
"","2025/02/14","환전출금","KRW","0","2141900",".",".","0",".","","2141900.","","","","",""
"","01","","","0",".",".",".",".","","","54.","","","","",""
"","2025/02/14","환전입금","USD","0","1482.85",".",".","0",".","","1482.","","","","",""
"","01","","","1444.44",".",".",".",".","","","2390.","","","","",""
"","2025/02/19","해외증권_해외주식매수","BMG4809J1062","8","215.2",".",".",".17",".","","215.","","","","",""
"","01","해외주식매수","인터내셔널 제너럴 인","26.9",".",".",".",".","신한 SOL(HTS) 고객용","USD","2174.","","","","",""
"","2025/02/19","해외증권_해외주식매수","US93627C1018","1","50.56",".",".",".04",".","","50.","","","","",""
"","01","해외주식매수","워리어 멧 콜","50.56",".",".",".",".","신한 SOL(HTS) 고객용","USD","2124.","","","","",""
"","2025/02/19","해외증권_해외주식매수","US88642R1095","2","108.16",".",".",".09",".","","108.","","","","",""
"","01","해외주식매수","타이드워터","54.08",".",".",".",".","신한 SOL(HTS) 고객용","USD","2016.","","","","",""
"","2025/02/19","해외증권_해외주식매수","US93627C1018","1","49.66",".",".",".04",".","","49.","","","","",""
"","01","해외주식매수","워리어 멧 콜","49.66",".",".",".",".","신한 SOL(HTS) 고객용","USD","1966.","","","","",""
"","2025/02/19","해외증권_해외주식매수","US93627C1018","2","99.06",".",".",".08",".","","99.","","","","",""
"","01","해외주식매수","워리어 멧 콜","49.53",".",".",".",".","신한 SOL(HTS) 고객용","USD","1867.","","","","",""
"","2025/02/20","해외증권_해외주식매수","US93627C1018","2","99.1",".",".",".08",".","","99.","","","","",""
"","01","해외주식매수","워리어 멧 콜","49.55",".",".",".",".","신한 SOL(HTS) 고객용","USD","1768.","","","","",""
"","2025/02/21","해외증권_해외주식매수","US9119221029","2","206.28",".",".",".17",".","","206.","","","","",""
