Date,Anchor_Asset,External_Flow,Calculated_Asset,Prev_Asset,Daily_Return,Cumulative_TWR,Invested_Principal,Simple_Return,Peak,Drawdown
2025-05-20,,0.0,21923471.0,21926247.0,-0.00012660625413918325,-0.15341430967940028,24137350.0,-0.0917200521183974,21937350.0,-0.0006326652945775128
2025-05-21,,0.0,21920696.0,21923471.0,-0.0001265766720972561,-0.1535214676787262,24137350.0,-0.09183501917153292,21937350.0,-0.0007591618860071978
2025-05-22,,0.0,21917920.0,21920696.0,-0.00012663831476888987,-0.15362866429354738,24137350.0,-0.0919500276542371,21937350.0,-0.0008857040617941547
2025-05-23,,0.0,21915144.0,21917920.0,-0.00012665435406278291,-0.15373586090836855,24137350.0,-0.09206503613694128,21937350.0,-0.0010122462375811118
2025-05-24,,0.0,21912369.0,21915144.0,-0.00012662476687352875,-0.15384301890769447,24137350.0,-0.0921800031900768,21937350.0,-0.0011387428290107967
2025-05-25,,0.0,21909593.0,21912369.0,-0.00012668643906099675,-0.15395021552251564,24137350.0,-0.09229501167278098,21937350.0,-0.0012652850047977537
2025-05-26,,0.0,21906817.0,21909593.0,-0.00012670249054835825,-0.1540574121373368,24137350.0,-0.09241002015548516,21937350.0,-0.0013918271805847106
2025-05-27,,1.0,21904043.0,21906817.0,-0.00012667289243006863,-0.1541645701317712,24137351.0,-0.09252498337535053,21937350.0,-0.0015182781876571236
2025-05-28,,0.0,21901267.0,21904043.0,-0.00012673459415690758,-0.15427176674169907,24137351.0,-0.09263999185328997,21937350.0,-0.0016448203634440806
2025-05-29,,0.0,21898491.0,21901267.0,-0.000126750657850061,-0.15437896335162693,24137351.0,-0.09275500033122941,21937350.0,-0.0017713625392310375
2025-05-30,,0.0,21895716.0,21898491.0,-0.00012672106036892838,-0.15448612134606132,24137351.0,-0.09286996737960185,21937350.0,-0.0018978591306607225
2025-05-31,21892940.0,0.0,21892940.0,21895716.0,-0.00012678279166578044,-0.15459331795598918,24137351.0,-0.09298497585754129,21937350.0,-0.0020244013064476796
2025-06-01,,0.0,21928643.0,21892940.0,0.0016307997007254382,-0.1532146289919205,24137351.0,-0.09150581602761632,21937350.0,-0.00039690299876694315
2025-06-02,,0.0,21964346.0,21928643.0,0.0016281445231243197,-0.15183594002785195,24137351.0,-0.09002665619769123,21964346.0,0.0
2025-06-03,,0.0,22000048.0,21964346.0,0.001625452449164566,-0.15045728967927685,24137351.0,-0.08854753779733326,22000048.0,0.0
2025-06-04,,0.0,22035751.0,22000048.0,0.0016228600955778827,-0.1490786007152083,24137351.0,-0.0870683779674083,22035751.0,0.0
2025-06-05,,0.0,22071454.0,22035751.0,0.0016202306878490003,-0.1476999117511396,24137351.0,-0.08558921813748332,22071454.0,0.0
2025-06-06,,0.0,22107157.0,22071454.0,0.0016176097868314532,-0.14632122278707094,24137351.0,-0.08411005830755824,22107157.0,0.0
2025-06-07,,0.0,22142860.0,22107157.0,0.00161499735131021,-0.14494253382300237,24137351.0,-0.08263089847763327,22142860.0,0.0
2025-06-08,,0.0,22178563.0,22142860.0,0.001612393340336249,-0.1435638448589338,24137351.0,-0.0811517386477083,22178563.0,0.0
2025-06-09,,0.0,22214265.0,22178563.0,0.0016097526246403593,-0.1421851945103586,24137351.0,-0.07967262024735022,22214265.0,0.0
2025-06-10,,0.0,22249968.0,22214265.0,0.0016072105019004912,-0.14080650554628993,24137351.0,-0.07819346041742525,22249968.0,0.0
2025-06-11,,-150000.0,22135671.0,22249968.0,0.0016155227012093487,-0.1394184589512686,23987351.0,-0.07719401779712987,22249968.0,-0.0051369512081994905
2025-06-12,,0.0,22171374.0,22135671.0,0.001612916997185243,-0.13803041235624725,23987351.0,-0.07570560834333062,22249968.0,-0.0035323196869316846
2025-06-13,,0.0,22207077.0,22171374.0,0.0016103196851939838,-0.13664236576122601,23987351.0,-0.07421719888953138,22249968.0,-0.0019276881656638788
2025-06-14,,0.0,22242780.0,22207077.0,0.001607730724759504,-0.13525431916620467,23987351.0,-0.07272878943573224,22249968.0,-0.00032305664439607286
2025-06-15,,0.0,22278482.0,22242780.0,0.0016051051172560893,-0.13386631144877326,23987351.0,-0.07124042167057132,22278482.0,0.0
2025-06-16,,0.0,22314185.0,22278482.0,0.0016025777698858157,-0.1324782648537518,23987351.0,-0.06975201221677207,22314185.0,0.0
2025-06-17,,0.0,22349888.0,22314185.0,0.001600013623620944,-0.13109021825873057,23987351.0,-0.06826360276297283,22349888.0,0.0
2025-06-18,,0.0,22385591.0,22349888.0,0.0015974576695865217,-0.12970217166370923,23987351.0,-0.0667751933091737,22385591.0,0.0
2025-06-19,,1.0,22421295.0,22385591.0,0.0015949097973375626,-0.12831412513069407,23987352.0,-0.06528678113365749,22421295.0,0.0
2025-06-20,,0.0,22456998.0,22421295.0,0.0015923701106470567,-0.1269260785976789,23987352.0,-0.06379837174190794,22456998.0,0.0
2025-06-21,,0.0,22492700.0,22456998.0,0.0015897939697906427,-0.125538070942252,23987352.0,-0.062310004038795164,22492700.0,0.0
2025-06-22,,0.0,22528403.0,22492700.0,0.0015873149955318855,-0.12415002440923695,23987352.0,-0.06082159464704562,22528403.0,0.0
2025-06-23,,0.0,22564106.0,22528403.0,0.0015847994196480641,-0.1227619778762219,23987352.0,-0.059333185255296184,22564106.0,0.0
2025-06-24,,0.0,22599809.0,22564106.0,0.001582291804514746,-0.12137393134320673,23987352.0,-0.05784477586354675,22599809.0,0.0
2025-06-25,,0.0,22635512.0,22599809.0,0.001579792112402334,-0.11998588481019168,23987352.0,-0.056356366471797315,22635512.0,0.0
2025-06-26,,0.0,22671215.0,22635512.0,0.0015773003058203727,-0.11859783827717651,23987352.0,-0.05486795708004788,22671215.0,0.0
2025-06-27,,0.0,22706917.0,22671215.0,0.0015747722387176033,-0.11720983062174972,23987352.0,-0.05337958937693499,22706917.0,0.0
2025-06-28,,0.0,22742620.0,22706917.0,0.0015723402697072064,-0.11582178408873467,23987352.0,-0.051891179985185554,22742620.0,0.0
2025-06-29,,0.0,22778323.0,22742620.0,0.0015698718969054948,-0.1144337375557195,23987352.0,-0.05040277059343612,22778323.0,0.0
