Date,466940.KS,TDW,ADMA,TW,LEN,BMI,USLM,LW,FTLF,HMY,EVR,K.TO,IRMD,OPEN,SCHO,NICE,HCC,IGIC,PBR-A,AM,SM,ARIS.TO,ACGL,AMRZ,PL,CPRX,BRK-B,TIMB,3093.T,INVE,FIX,ITRN,494670.KS,Cash
2025-11-18,0.0,12202596.969169535,137603.48740388732,0.0,0.0,0.0,2879466.2883661687,0.0,3359314.248783661,0.0,0.0,0.0,0.0,0.0,2857846.125232788,0.0,1480388.8379246704,0.0,0.0,0.0,0.0,0.0,0.0,1377843.9484141767,0.0,0.0,2948930.1944396496,0.0,1599823.1772933435,0.0,0.0,0.0,0.0,923519.7229721248
2025-11-19,0.0,11902373.769595101,139391.83800596232,0.0,0.0,0.0,2924221.2271062136,0.0,3371360.028039121,0.0,0.0,0.0,0.0,0.0,2847796.7832537526,0.0,1431712.0322053004,0.0,0.0,0.0,0.0,0.0,0.0,1370114.5070816576,0.0,0.0,2920441.16679883,0.0,1900763.0760659147,0.0,0.0,0.0,0.0,948120.5718481466
2025-11-20,0.0,11216481.315977449,143915.3266484253,0.0,0.0,0.0,2902645.530423375,0.0,3254984.7014740133,0.0,0.0,0.0,0.0,0.0,2867703.0691847564,0.0,1390142.150712124,0.0,0.0,0.0,0.0,0.0,0.0,1368673.6123615876,0.0,0.0,2938828.2435521483,0.0,1912067.5508720812,0.0,0.0,0.0,0.0,1014228.4987940378
2025-11-21,0.0,11561329.375,151862.61269760132,0.0,0.0,0.0,2976032.1365528107,0.0,3376600.7041368484,0.0,0.0,0.0,0.0,0.0,2885175.946269989,0.0,1435127.4869289398,0.0,0.0,0.0,0.0,0.0,0.0,1404787.4637413025,0.0,0.0,2970307.7703552246,0.0,1954524.008762882,0.0,0.0,0.0,0.0,1052317.4955544025
2025-11-22,0.0,11561329.375,151862.61269760132,0.0,0.0,0.0,2976032.1365528107,0.0,3376600.7041368484,0.0,0.0,0.0,0.0,0.0,2885175.946269989,0.0,1435127.4869289398,0.0,0.0,0.0,0.0,0.0,0.0,1404787.4637413025,0.0,0.0,2970307.7703552246,0.0,1954524.008762882,0.0,0.0,0.0,0.0,1101121.4955544025
2025-11-23,0.0,11561329.375,151862.61269760132,0.0,0.0,0.0,2976032.1365528107,0.0,3376600.7041368484,0.0,0.0,0.0,0.0,0.0,2885175.946269989,0.0,1435127.4869289398,0.0,0.0,0.0,0.0,0.0,0.0,1404787.4637413025,0.0,0.0,2970307.7703552246,0.0,1954524.008762882,0.0,0.0,0.0,0.0,1149925.4955544025
2025-11-24,0.0,11451581.268531922,161332.87676563114,0.0,0.0,0.0,3020958.916405972,0.0,3302920.9517223984,0.0,0.0,0.0,0.0,0.0,2874365.678104706,0.0,1443082.1344302408,0.0,0.0,0.0,0.0,0.0,0.0,1426555.334944278,0.0,0.0,2981311.831194043,0.0,1955362.5719741276,0.0,0.0,0.0,0.0,1200673.4359266795
2025-11-25,0.0,11238049.329072569,169992.35380997322,0.0,0.0,0.0,3087225.6504993634,0.0,3359849.0212518037,0.0,0.0,0.0,0.0,0.0,2890695.3645200296,0.0,1480904.771106192,0.0,0.0,0.0,0.0,0.0,0.0,1483137.281447025,0.0,0.0,3000278.214209765,0.0,1939598.4647000483,0.0,0.0,0.0,0.0,1250662.5493832342
2025-11-26,0.0,11262832.636432141,168231.41248198226,0.0,0.0,0.0,3012936.591032194,0.0,3420266.1469436134,0.0,0.0,0.0,0.0,0.0,2872388.425504323,0.0,1496396.2884503417,0.0,0.0,0.0,0.0,0.0,0.0,1456315.6280957628,0.0,0.0,2995644.3606410176,0.0,1952927.3197058905,0.0,0.0,0.0,0.0,1298942.190712735
2025-11-27,0.0,11306425.036852702,168882.5462893434,0.0,0.0,0.0,3024598.056895869,0.0,3433504.1676294724,0.0,0.0,0.0,0.0,0.0,2883505.904601272,0.0,1502188.0380305462,0.0,0.0,0.0,0.0,0.0,0.0,1461952.2468796838,0.0,0.0,3007238.897530809,0.0,1965940.1346663705,0.0,0.0,0.0,0.0,1345567.970623929
